,Name,Rating,Number of ratings,Number of reviews,Actual Price,Current Price,Link
0,Hero Splendor+ (i3S) Booking for Ex-Showroom Price  (Black with Blue),5.0,0,0,Not available,Not available,https://www.flipkart.com/bajaj-pulsar-125-neon-disc-single-seat-booking-ex-showroom-price/p/itm2c4d39a0d77b8?pid=MCYHF5K3YMURMZZE&marketplace=FLIPKART
1,"Lectrix LXS 2.0 with Battery Subscription Booking for Ex-Showroom Price (with Portable Charger, Electric Red)",4.6,5,3,Not available,49999.0,https://www.flipkart.com/bajaj-pulsar-125-neon-disc-single-seat-booking-ex-showroom-price/p/itm2c4d39a0d77b8?pid=MCYHF5K3YMURMZZE&marketplace=FLIPKART
2,"Trendmax Electric Scooter Board  (518 CAR BATTERY OPERATED KIDS CAR  REMOTE CAR, RIDE ON TOY, BATTERY CAR, ELECTRIC CAR BEST FOR YOUR KIDS)",3.5,19,10,25500.0,19999.0,https://www.flipkart.com/bajaj-pulsar-125-neon-disc-single-seat-booking-ex-showroom-price/p/itm2c4d39a0d77b8?pid=MCYHF5K3YMURMZZE&marketplace=FLIPKART
3,Hero XTREME 125R (IBS) Booking for Ex-Showroom Price  (Cobalt Blue),4.5,443,41,Not available,95000.0,https://www.flipkart.com/bajaj-pulsar-125-neon-disc-single-seat-booking-ex-showroom-price/p/itm2c4d39a0d77b8?pid=MCYHF5K3YMURMZZE&marketplace=FLIPKART
4,BAJAJ Pulsar 125 (NEON DISC SINGLE SEAT) Booking for Ex-Showroom Price  (Ebony Black Solar Red Decals),4.8,39,3,Not available,84269.0,https://www.flipkart.com/bajaj-pulsar-125-neon-disc-single-seat-booking-ex-showroom-price/p/itm2c4d39a0d77b8?pid=MCYHF5K3YMURMZZE&marketplace=FLIPKART
