,Name,Rating,Number of ratings,Number of reviews,Actual Price,Current Price,Link
10,"boAt Nirvana Ion 32dB Active Noise Cancellation, 120HRS, Bionic Mode, HIFI5 Bluetooth Headset  (Crystal Black, True Wireless)",4.1,99829,8735,9990.0,2499.0,https://www.flipkart.com/boat-airdopes-311-pro-w-50-hrs-playback-asap-charge-dual-mics-enx-technology-bluetooth-headset/p/itmdf2c606e0fc42?pid=ACCGZ5TF3PNEAQAD&lid=LSTACCGZ5TF3PNEAQADQP78LF&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=8d368795-b094-45fd-8a6f-7de8869fae16.ACCGZ5TF3PNEAQAD.SEARCH&ppt=None&ppn=None&ssid=9i99ipfmjk0000001722281435121&qH=2951f68ff1fee1e0
11,"boAt Airdopes 131 with upto 60 hours and ASAP Charge Bluetooth Headset  (Active Black, True Wireless)",4.0,1914777,143324,2990.0,999.0,https://www.flipkart.com/boat-airdopes-311-pro-w-50-hrs-playback-asap-charge-dual-mics-enx-technology-bluetooth-headset/p/itmdf2c606e0fc42?pid=ACCGZ5TF3PNEAQAD&lid=LSTACCGZ5TF3PNEAQADQP78LF&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=8d368795-b094-45fd-8a6f-7de8869fae16.ACCGZ5TF3PNEAQAD.SEARCH&ppt=None&ppn=None&ssid=9i99ipfmjk0000001722281435121&qH=2951f68ff1fee1e0
12,"SORAK CREATION 8 Bluetooth Headset  (White, In the Ear)",4.3,3,0,999.0,430.0,https://www.flipkart.com/boat-airdopes-311-pro-w-50-hrs-playback-asap-charge-dual-mics-enx-technology-bluetooth-headset/p/itmdf2c606e0fc42?pid=ACCGZ5TF3PNEAQAD&lid=LSTACCGZ5TF3PNEAQADQP78LF&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=8d368795-b094-45fd-8a6f-7de8869fae16.ACCGZ5TF3PNEAQAD.SEARCH&ppt=None&ppn=None&ssid=9i99ipfmjk0000001722281435121&qH=2951f68ff1fee1e0
13,"boAt Airdopes 71 w/ 40 HRS Playback, ENx Technology & Beast Mode(Low Latency) Bluetooth Headset  (Active Black, True Wireless)",3.8,34292,1817,3990.0,1199.0,https://www.flipkart.com/boat-airdopes-311-pro-w-50-hrs-playback-asap-charge-dual-mics-enx-technology-bluetooth-headset/p/itmdf2c606e0fc42?pid=ACCGZ5TF3PNEAQAD&lid=LSTACCGZ5TF3PNEAQADQP78LF&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=8d368795-b094-45fd-8a6f-7de8869fae16.ACCGZ5TF3PNEAQAD.SEARCH&ppt=None&ppn=None&ssid=9i99ipfmjk0000001722281435121&qH=2951f68ff1fee1e0
14,"OnePlus Nord Buds 2r in Ear Earbuds with Dual Mic & AI Crystal Clear Call Bluetooth Headset  (Misty Grey, True Wireless)",4.3,90235,5781,2299.0,1998.0,https://www.flipkart.com/boat-airdopes-311-pro-w-50-hrs-playback-asap-charge-dual-mics-enx-technology-bluetooth-headset/p/itmdf2c606e0fc42?pid=ACCGZ5TF3PNEAQAD&lid=LSTACCGZ5TF3PNEAQADQP78LF&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=8d368795-b094-45fd-8a6f-7de8869fae16.ACCGZ5TF3PNEAQAD.SEARCH&ppt=None&ppn=None&ssid=9i99ipfmjk0000001722281435121&qH=2951f68ff1fee1e0
15,"TECHNUV S460 ANC High Quality Pure Sound, IPX5 Touch, Mini Wireless 5.3 Cordless Headset Bluetooth Headset  (Blue, In-Earphone Car Headphones With Mic Powerful Sound, In the Ear)",4.6,0,0,2499.0,599.0,https://www.flipkart.com/boat-airdopes-311-pro-w-50-hrs-playback-asap-charge-dual-mics-enx-technology-bluetooth-headset/p/itmdf2c606e0fc42?pid=ACCGZ5TF3PNEAQAD&lid=LSTACCGZ5TF3PNEAQADQP78LF&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=8d368795-b094-45fd-8a6f-7de8869fae16.ACCGZ5TF3PNEAQAD.SEARCH&ppt=None&ppn=None&ssid=9i99ipfmjk0000001722281435121&qH=2951f68ff1fee1e0
16,"boAt Immortal 171 w/ Beast Mode(40ms Low Latency), 40 Hours Playback & RGB Lights Bluetooth Headset  (Black Sabre, True Wireless)",4.0,17212,1153,3499.0,1299.0,https://www.flipkart.com/boat-airdopes-311-pro-w-50-hrs-playback-asap-charge-dual-mics-enx-technology-bluetooth-headset/p/itmdf2c606e0fc42?pid=ACCGZ5TF3PNEAQAD&lid=LSTACCGZ5TF3PNEAQADQP78LF&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=8d368795-b094-45fd-8a6f-7de8869fae16.ACCGZ5TF3PNEAQAD.SEARCH&ppt=None&ppn=None&ssid=9i99ipfmjk0000001722281435121&qH=2951f68ff1fee1e0
17,"boAt Airdopes Supreme w/ 4 Mics AI ENx Tech, 50 HRS Playback,Multi Point Connectivity Bluetooth Headset  (Classic Black, True Wireless)",4.1,27513,2441,5990.0,1499.0,https://www.flipkart.com/boat-airdopes-311-pro-w-50-hrs-playback-asap-charge-dual-mics-enx-technology-bluetooth-headset/p/itmdf2c606e0fc42?pid=ACCGZ5TF3PNEAQAD&lid=LSTACCGZ5TF3PNEAQADQP78LF&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=8d368795-b094-45fd-8a6f-7de8869fae16.ACCGZ5TF3PNEAQAD.SEARCH&ppt=None&ppn=None&ssid=9i99ipfmjk0000001722281435121&qH=2951f68ff1fee1e0
18,"boAt Nirvana Ion with 120 Hours Playback & Crystal Bionic Sound by Hifi DSP 5 Bluetooth Headset  (Charcoal Black, True Wireless)",4.1,99829,8735,7990.0,1999.0,https://www.flipkart.com/boat-airdopes-311-pro-w-50-hrs-playback-asap-charge-dual-mics-enx-technology-bluetooth-headset/p/itmdf2c606e0fc42?pid=ACCGZ5TF3PNEAQAD&lid=LSTACCGZ5TF3PNEAQADQP78LF&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=8d368795-b094-45fd-8a6f-7de8869fae16.ACCGZ5TF3PNEAQAD.SEARCH&ppt=None&ppn=None&ssid=9i99ipfmjk0000001722281435121&qH=2951f68ff1fee1e0
19,"boAt Airdopes 161/163 with ASAP Charge & 40 HRS Playback Bluetooth Headset  (Pearl White, True Wireless)",4.0,974442,65740,2490.0,1099.0,https://www.flipkart.com/boat-airdopes-311-pro-w-50-hrs-playback-asap-charge-dual-mics-enx-technology-bluetooth-headset/p/itmdf2c606e0fc42?pid=ACCGZ5TF3PNEAQAD&lid=LSTACCGZ5TF3PNEAQADQP78LF&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=8d368795-b094-45fd-8a6f-7de8869fae16.ACCGZ5TF3PNEAQAD.SEARCH&ppt=None&ppn=None&ssid=9i99ipfmjk0000001722281435121&qH=2951f68ff1fee1e0
