,Name,Rating,Number of ratings,Number of reviews,Actual Price,Current Price,Link
10,"POCO C65 (Matte Black, 128 GB)  (4 GB RAM)",4.3,37676,2019,10999.0,6999.0,https://www.flipkart.com/poco-c65-pastel-blue-128-gb/p/itm1586ff4fb1c2b?pid=MOBGVVTXZESSZY4W&lid=LSTMOBGVVTXZESSZY4WVAOO2Y&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=e9b927f8-305d-4eb2-a8f2-174bcc56aa3b.MOBGVVTXZESSZY4W.SEARCH&ppt=None&ppn=None&ssid=7w2dwhlmcw0000001722279026918&qH=f7a42fe7211f98ac
11,"Motorola g04s (Satin Blue, 64 GB)  (4 GB RAM)",4.2,8072,460,9999.0,6999.0,https://www.flipkart.com/poco-c65-pastel-blue-128-gb/p/itm1586ff4fb1c2b?pid=MOBGVVTXZESSZY4W&lid=LSTMOBGVVTXZESSZY4WVAOO2Y&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=e9b927f8-305d-4eb2-a8f2-174bcc56aa3b.MOBGVVTXZESSZY4W.SEARCH&ppt=None&ppn=None&ssid=7w2dwhlmcw0000001722279026918&qH=f7a42fe7211f98ac
12,"Motorola G34 5G (Ice Blue, 128 GB)  (8 GB RAM)",4.2,108195,7501,14999.0,11999.0,https://www.flipkart.com/poco-c65-pastel-blue-128-gb/p/itm1586ff4fb1c2b?pid=MOBGVVTXZESSZY4W&lid=LSTMOBGVVTXZESSZY4WVAOO2Y&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=e9b927f8-305d-4eb2-a8f2-174bcc56aa3b.MOBGVVTXZESSZY4W.SEARCH&ppt=None&ppn=None&ssid=7w2dwhlmcw0000001722279026918&qH=f7a42fe7211f98ac
13,"vivo T3x 5G (Celestial Green, 128 GB)  (6 GB RAM)",4.5,38164,1192,18999.0,14999.0,https://www.flipkart.com/poco-c65-pastel-blue-128-gb/p/itm1586ff4fb1c2b?pid=MOBGVVTXZESSZY4W&lid=LSTMOBGVVTXZESSZY4WVAOO2Y&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=e9b927f8-305d-4eb2-a8f2-174bcc56aa3b.MOBGVVTXZESSZY4W.SEARCH&ppt=None&ppn=None&ssid=7w2dwhlmcw0000001722279026918&qH=f7a42fe7211f98ac
14,"vivo T3x 5G (Crimson Bliss, 128 GB)  (6 GB RAM)",4.5,38164,1192,18999.0,14999.0,https://www.flipkart.com/poco-c65-pastel-blue-128-gb/p/itm1586ff4fb1c2b?pid=MOBGVVTXZESSZY4W&lid=LSTMOBGVVTXZESSZY4WVAOO2Y&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=e9b927f8-305d-4eb2-a8f2-174bcc56aa3b.MOBGVVTXZESSZY4W.SEARCH&ppt=None&ppn=None&ssid=7w2dwhlmcw0000001722279026918&qH=f7a42fe7211f98ac
15,"vivo T3x 5G (Celestial Green, 128 GB)  (8 GB RAM)",4.4,8558,392,20499.0,16499.0,https://www.flipkart.com/poco-c65-pastel-blue-128-gb/p/itm1586ff4fb1c2b?pid=MOBGVVTXZESSZY4W&lid=LSTMOBGVVTXZESSZY4WVAOO2Y&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=e9b927f8-305d-4eb2-a8f2-174bcc56aa3b.MOBGVVTXZESSZY4W.SEARCH&ppt=None&ppn=None&ssid=7w2dwhlmcw0000001722279026918&qH=f7a42fe7211f98ac
16,"vivo T3x 5G (Crimson Bliss, 128 GB)  (4 GB RAM)",4.5,11669,372,17499.0,13499.0,https://www.flipkart.com/poco-c65-pastel-blue-128-gb/p/itm1586ff4fb1c2b?pid=MOBGVVTXZESSZY4W&lid=LSTMOBGVVTXZESSZY4WVAOO2Y&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=e9b927f8-305d-4eb2-a8f2-174bcc56aa3b.MOBGVVTXZESSZY4W.SEARCH&ppt=None&ppn=None&ssid=7w2dwhlmcw0000001722279026918&qH=f7a42fe7211f98ac
17,"vivo T3x 5G (Celestial Green, 128 GB)  (4 GB RAM)",4.5,11669,372,17499.0,13499.0,https://www.flipkart.com/poco-c65-pastel-blue-128-gb/p/itm1586ff4fb1c2b?pid=MOBGVVTXZESSZY4W&lid=LSTMOBGVVTXZESSZY4WVAOO2Y&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=e9b927f8-305d-4eb2-a8f2-174bcc56aa3b.MOBGVVTXZESSZY4W.SEARCH&ppt=None&ppn=None&ssid=7w2dwhlmcw0000001722279026918&qH=f7a42fe7211f98ac
18,"vivo T3x 5G (Crimson Bliss, 128 GB)  (8 GB RAM)",4.4,8558,392,20499.0,16499.0,https://www.flipkart.com/poco-c65-pastel-blue-128-gb/p/itm1586ff4fb1c2b?pid=MOBGVVTXZESSZY4W&lid=LSTMOBGVVTXZESSZY4WVAOO2Y&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=e9b927f8-305d-4eb2-a8f2-174bcc56aa3b.MOBGVVTXZESSZY4W.SEARCH&ppt=None&ppn=None&ssid=7w2dwhlmcw0000001722279026918&qH=f7a42fe7211f98ac
19,"Motorola G34 5G (Ice Blue, 128 GB)  (4 GB RAM)",4.2,40157,3055,13999.0,10999.0,https://www.flipkart.com/poco-c65-pastel-blue-128-gb/p/itm1586ff4fb1c2b?pid=MOBGVVTXZESSZY4W&lid=LSTMOBGVVTXZESSZY4WVAOO2Y&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=e9b927f8-305d-4eb2-a8f2-174bcc56aa3b.MOBGVVTXZESSZY4W.SEARCH&ppt=None&ppn=None&ssid=7w2dwhlmcw0000001722279026918&qH=f7a42fe7211f98ac
